Experiment,Specification,Model,Serial Number,Size of Train Set,R^2 Score,MAE Score
01c Control Experiment without consideration of ligand,,BERT,7.0,343.0,0.7002806141647909,0.1006573346049984
01c Control Experiment without consideration of ligand,,BERT,8.0,339.0,0.7484819972891066,0.09358384574423716
01c Control Experiment without consideration of ligand,,BERT,9.0,323.0,0.6751547707996328,0.1065624376327952
01c Control Experiment without consideration of ligand,,BERT,0.0,344.0,0.6704977654492639,0.11820247069956134
01c Control Experiment without consideration of ligand,,MFF,1.0,333.0,0.8706588588390667,0.06615533774584549
01c Control Experiment without consideration of ligand,,MFF,2.0,333.0,0.7355560263298377,0.08653481745000004
01c Control Experiment without consideration of ligand,,MFF,3.0,339.0,0.7369498869742039,0.0939543554715045
01c Control Experiment without consideration of ligand,,MFF,4.0,330.0,0.841455711498494,0.07135417631871434
01c Control Experiment without consideration of ligand,,MFF,5.0,332.0,0.8099282699109416,0.07971815366517855
01c Control Experiment without consideration of ligand,,MFF,6.0,342.0,0.8443450323878874,0.07059819351684787
01c Control Experiment without consideration of ligand,,MFF,7.0,343.0,0.7860989518070272,0.07856103890153797
01c Control Experiment without consideration of ligand,,MFF,8.0,339.0,0.8241777838557796,0.08207413278556235
01c Control Experiment without consideration of ligand,,MFF,9.0,323.0,0.8133277764774991,0.07624064343541863
01c Control Experiment without consideration of ligand,,MFF,0.0,344.0,0.7782111501481049,0.08995621604511561
01c Control Experiment without consideration of ligand,,OHE,1.0,333.0,0.8435897848139403,0.07485551491421283
01c Control Experiment without consideration of ligand,,OHE,2.0,333.0,0.6248061307430579,0.10325009650145776
01c Control Experiment without consideration of ligand,,OHE,3.0,339.0,0.7143681823283301,0.0996629006345744
01c Control Experiment without consideration of ligand,,OHE,4.0,330.0,0.7905863795167408,0.08025271769528577
01c Control Experiment without consideration of ligand,,OHE,5.0,332.0,0.7386243793328409,0.09145345280625006
01c Control Experiment without consideration of ligand,,OHE,6.0,342.0,0.8233165210214491,0.07948649718726712
01c Control Experiment without consideration of ligand,,OHE,7.0,343.0,0.7010939517276875,0.0927119292944733
01c Control Experiment without consideration of ligand,,OHE,8.0,339.0,0.7873962802686791,0.08820550195455923
01c Control Experiment without consideration of ligand,,OHE,9.0,323.0,0.7311845205060783,0.09015198418396277
01c Control Experiment without consideration of ligand,,OHE,0.0,344.0,0.7703446636369056,0.09362961579776796
01c Control Experiment without consideration of solvent,,BERT,1.0,990.0,0.832312734695169,0.0788954182420949
01c Control Experiment without consideration of solvent,,BERT,2.0,998.0,0.8161971207073979,0.08248517435093164
01c Control Experiment without consideration of solvent,,BERT,3.0,1007.0,0.8439407506083594,0.07718465559263891
01c Control Experiment without consideration of solvent,,BERT,4.0,991.0,0.8561867476550283,0.0737242577668001
01c Control Experiment without consideration of solvent,,BERT,5.0,1000.0,0.8166994803506221,0.08269160684768395
01c Control Experiment without consideration of solvent,,BERT,6.0,1014.0,0.8541383163698684,0.0758305585429194
01c Control Experiment without consideration of solvent,,BERT,7.0,1009.0,0.8372911311777211,0.07905992489495448
01c Control Experiment without consideration of solvent,,BERT,8.0,1003.0,0.8109829796352539,0.08492724842100745
01c Control Experiment without consideration of solvent,,BERT,9.0,1010.0,0.7981319262063485,0.08578476098151253
01c Control Experiment without consideration of solvent,,BERT,0.0,1044.0,0.7916593301665871,0.08784276657166096
01c Control Experiment without consideration of solvent,,MFF,1.0,990.0,0.8657018922737574,0.07055074564357144
01c Control Experiment without consideration of solvent,,MFF,2.0,998.0,0.8588740121295368,0.07227689481523106
01c Control Experiment without consideration of solvent,,MFF,3.0,1007.0,0.8557555868653226,0.07433955206827778
01c Control Experiment without consideration of solvent,,MFF,4.0,991.0,0.8812822249359608,0.06730072957043033
01c Control Experiment without consideration of solvent,,MFF,5.0,1000.0,0.8550795887003879,0.07231303022559253
